Sample,Population
HG00096,European
HG00097,European
HG00098,European
HG00099,European
HG00100,European
HG00101,European
HG00102,European
HG00103,European
HG00104,European
HG00105,European
HG00106,European
HG00107,European
HG00108,European
HG00109,European
HG00110,European
HG00111,European
HG00112,European
HG00113,European
HG00114,European
HG00115,European
HG00116,European
HG00117,European
HG00118,European
HG00119,European
HG00120,European
HG00121,European
HG00122,European
HG00123,European
HG00124,European
HG00125,European
HG00126,European
HG00127,European
HG00128,European
HG00129,European
HG00130,European
HG00131,European
HG00132,European
HG00133,European
HG00134,European
HG00135,European
HG00136,European
HG00137,European
HG00138,European
HG00139,European
HG00140,European
HG00141,European
HG00142,European
HG00143,European
HG00144,European
HG00145,European
HG00146,European
HG00147,European
HG00148,European
HG00149,European
HG00150,European
HG00151,European
HG00152,European
HG00153,European
HG00154,European
HG00155,European
HG00156,European
HG00157,European
HG00158,European
HG00159,European
HG00160,European
HG00171,European
HG00173,European
HG00174,European
HG00176,European
HG00177,European
HG00178,European
HG00179,European
HG00180,European
HG00181,European
HG00182,European
HG00183,European
HG00185,European
HG00186,European
HG00187,European
HG00188,European
HG00189,European
HG00190,European
HG00231,European
HG00232,European
HG00233,European
HG00234,European
HG00235,European
HG00236,European
HG00237,European
HG00238,European
HG00239,European
HG00240,European
HG00242,European
HG00243,European
HG00244,European
HG00245,European
HG00246,European
HG00247,European
HG00248,European
HG00249,European
HG00250,European
HG00251,European
HG00252,European
HG00253,European
HG00254,European
HG00255,European
HG00256,European
HG00257,European
HG00258,European
HG00259,European
HG00260,European
HG00261,European
HG00262,European
HG00263,European
HG00264,European
HG00265,European
HG00266,European
HG00267,European
HG00268,European
HG00269,European
HG00270,European
HG00271,European
HG00272,European
HG00273,European
HG00274,European
HG00275,European
HG00276,European
HG00277,European
HG00278,European
HG00280,European
HG00281,European
HG00282,European
HG00284,European
HG00285,European
HG00288,European
HG00290,European
HG00302,European
HG00303,European
HG00304,European
HG00306,European
HG00308,European
HG00309,European
HG00310,European
HG00311,European
HG00312,European
HG00313,European
HG00315,European
HG00318,European
HG00319,European
HG00320,European
HG00321,European
HG00323,European
HG00324,European
HG00325,European
HG00326,European
HG00327,European
HG00328,European
HG00329,European
HG00330,European
HG00331,European
HG00332,European
HG00334,European
HG00335,European
HG00336,European
HG00337,European
HG00338,European
HG00339,European
HG00341,European
HG00342,European
HG00343,European
HG00344,European
HG00345,European
HG00346,European
HG00349,European
HG00350,European
HG00351,European
HG00353,European
HG00355,European
HG00356,European
HG00357,European
HG00358,European
HG00359,European
HG00360,European
HG00361,European
HG00362,European
HG00364,European
HG00365,European
HG00366,European
HG00367,European
HG00368,European
HG00369,European
HG00371,European
HG00372,European
HG00373,European
HG00375,European
HG00376,European
HG00377,European
HG00378,European
HG00379,European
HG00380,European
HG00381,European
HG00382,European
HG00383,European
HG00384,European
HG00403,East Asian
HG00404,East Asian
HG00405,East Asian
HG00406,East Asian
HG00407,East Asian
HG00408,East Asian
HG00409,East Asian
HG00410,East Asian
HG00411,East Asian
HG00418,East Asian
HG00419,East Asian
HG00420,East Asian
HG00421,East Asian
HG00422,East Asian
HG00423,East Asian
HG00427,East Asian
HG00428,East Asian
HG00429,East Asian
HG00436,East Asian
HG00437,East Asian
HG00438,East Asian
HG00442,East Asian
HG00443,East Asian
HG00444,East Asian
HG00445,East Asian
HG00446,East Asian
HG00447,East Asian
HG00448,East Asian
HG00449,East Asian
HG00450,East Asian
HG00451,East Asian
HG00452,East Asian
HG00453,East Asian
HG00457,East Asian
HG00458,East Asian
HG00459,East Asian
HG00463,East Asian
HG00464,East Asian
HG00465,East Asian
HG00472,East Asian
HG00473,East Asian
HG00474,East Asian
HG00475,East Asian
HG00476,East Asian
HG00477,East Asian
HG00478,East Asian
HG00479,East Asian
HG00480,East Asian
HG00500,East Asian
HG00501,East Asian
HG00502,East Asian
HG00512,East Asian
HG00513,East Asian
HG00514,East Asian
HG00524,East Asian
HG00525,East Asian
HG00526,East Asian
HG00530,East Asian
HG00531,East Asian
HG00532,East Asian
HG00533,East Asian
HG00534,East Asian
HG00535,East Asian
HG00536,East Asian
HG00537,East Asian
HG00538,East Asian
HG00542,East Asian
HG00543,East Asian
HG00544,East Asian
HG00551,Ad Mixed American
HG00552,Ad Mixed American
HG00553,Ad Mixed American
HG00554,Ad Mixed American
HG00555,Ad Mixed American
HG00556,East Asian
HG00557,East Asian
HG00558,East Asian
HG00559,East Asian
HG00560,East Asian
HG00561,East Asian
HG00565,East Asian
HG00566,East Asian
HG00567,East Asian
HG00577,East Asian
HG00578,East Asian
HG00579,East Asian
HG00580,East Asian
HG00581,East Asian
HG00582,East Asian
HG00583,East Asian
HG00584,East Asian
HG00585,East Asian
HG00589,East Asian
HG00590,East Asian
HG00591,East Asian
HG00592,East Asian
HG00593,East Asian
HG00594,East Asian
HG00595,East Asian
HG00596,East Asian
HG00597,East Asian
HG00598,East Asian
HG00599,East Asian
HG00600,East Asian
HG00607,East Asian
HG00608,East Asian
HG00609,East Asian
HG00610,East Asian
HG00611,East Asian
HG00612,East Asian
HG00613,East Asian
HG00614,East Asian
HG00615,East Asian
HG00619,East Asian
HG00620,East Asian
HG00621,East Asian
HG00622,East Asian
HG00623,East Asian
HG00624,East Asian
HG00625,East Asian
HG00626,East Asian
HG00627,East Asian
HG00628,East Asian
HG00629,East Asian
HG00630,East Asian
HG00631,East Asian
HG00632,East Asian
HG00633,East Asian
HG00634,East Asian
HG00635,East Asian
HG00636,East Asian
HG00637,Ad Mixed American
HG00638,Ad Mixed American
HG00639,Ad Mixed American
HG00640,Ad Mixed American
HG00641,Ad Mixed American
HG00642,Ad Mixed American
HG00650,East Asian
HG00651,East Asian
HG00652,East Asian
HG00653,East Asian
HG00654,East Asian
HG00655,East Asian
HG00656,East Asian
HG00657,East Asian
HG00658,East Asian
HG00662,East Asian
HG00663,East Asian
HG00664,East Asian
HG00671,East Asian
HG00672,East Asian
HG00673,East Asian
HG00674,East Asian
HG00675,East Asian
HG00676,East Asian
HG00683,East Asian
HG00684,East Asian
HG00685,East Asian
HG00689,East Asian
HG00690,East Asian
HG00691,East Asian
HG00692,East Asian
HG00693,East Asian
HG00694,East Asian
HG00698,East Asian
HG00699,East Asian
HG00700,East Asian
HG00701,East Asian
HG00702,East Asian
HG00703,East Asian
HG00704,East Asian
HG00705,East Asian
HG00706,East Asian
HG00707,East Asian
HG00708,East Asian
HG00709,East Asian
HG00716,East Asian
HG00717,East Asian
HG00718,East Asian
HG00728,East Asian
HG00729,East Asian
HG00730,East Asian
HG00731,Ad Mixed American
HG00732,Ad Mixed American
HG00733,Ad Mixed American
HG00734,Ad Mixed American
HG00735,Ad Mixed American
HG00736,Ad Mixed American
HG00737,Ad Mixed American
HG00738,Ad Mixed American
HG00739,Ad Mixed American
HG00740,Ad Mixed American
HG00741,Ad Mixed American
HG00742,Ad Mixed American
HG00743,Ad Mixed American
HG00759,East Asian
HG00766,East Asian
HG00844,East Asian
HG00851,East Asian
HG00864,East Asian
HG00866,East Asian
HG00867,East Asian
HG00879,East Asian
HG00881,East Asian
HG00956,East Asian
HG00978,East Asian
HG00982,East Asian
HG00983,East Asian
HG01028,East Asian
HG01029,East Asian
HG01031,East Asian
HG01046,East Asian
HG01047,Ad Mixed American
HG01048,Ad Mixed American
HG01049,Ad Mixed American
HG01050,Ad Mixed American
HG01051,Ad Mixed American
HG01052,Ad Mixed American
HG01053,Ad Mixed American
HG01054,Ad Mixed American
HG01055,Ad Mixed American
HG01056,Ad Mixed American
HG01058,Ad Mixed American
HG01060,Ad Mixed American
HG01061,Ad Mixed American
HG01062,Ad Mixed American
HG01063,Ad Mixed American
HG01064,Ad Mixed American
HG01066,Ad Mixed American
HG01067,Ad Mixed American
HG01068,Ad Mixed American
HG01069,Ad Mixed American
HG01070,Ad Mixed American
HG01071,Ad Mixed American
HG01072,Ad Mixed American
HG01073,Ad Mixed American
HG01074,Ad Mixed American
HG01075,Ad Mixed American
HG01077,Ad Mixed American
HG01079,Ad Mixed American
HG01080,Ad Mixed American
HG01081,Ad Mixed American
HG01082,Ad Mixed American
HG01083,Ad Mixed American
HG01084,Ad Mixed American
HG01085,Ad Mixed American
HG01086,Ad Mixed American
HG01087,Ad Mixed American
HG01088,Ad Mixed American
HG01089,Ad Mixed American
HG01090,Ad Mixed American
HG01092,Ad Mixed American
HG01094,Ad Mixed American
HG01095,Ad Mixed American
HG01096,Ad Mixed American
HG01097,Ad Mixed American
HG01098,Ad Mixed American
HG01099,Ad Mixed American
HG01100,Ad Mixed American
HG01101,Ad Mixed American
HG01102,Ad Mixed American
HG01103,Ad Mixed American
HG01104,Ad Mixed American
HG01105,Ad Mixed American
HG01106,Ad Mixed American
HG01107,Ad Mixed American
HG01108,Ad Mixed American
HG01109,Ad Mixed American
HG01110,Ad Mixed American
HG01111,Ad Mixed American
HG01112,Ad Mixed American
HG01113,Ad Mixed American
HG01114,Ad Mixed American
HG01119,Ad Mixed American
HG01121,Ad Mixed American
HG01122,Ad Mixed American
HG01123,Ad Mixed American
HG01124,Ad Mixed American
HG01125,Ad Mixed American
HG01126,Ad Mixed American
HG01130,Ad Mixed American
HG01131,Ad Mixed American
HG01133,Ad Mixed American
HG01134,Ad Mixed American
HG01135,Ad Mixed American
HG01136,Ad Mixed American
HG01137,Ad Mixed American
HG01138,Ad Mixed American
HG01139,Ad Mixed American
HG01140,Ad Mixed American
HG01141,Ad Mixed American
HG01142,Ad Mixed American
HG01148,Ad Mixed American
HG01149,Ad Mixed American
HG01150,Ad Mixed American
HG01161,Ad Mixed American
HG01162,Ad Mixed American
HG01164,Ad Mixed American
HG01167,Ad Mixed American
HG01168,Ad Mixed American
HG01169,Ad Mixed American
HG01170,Ad Mixed American
HG01171,Ad Mixed American
HG01172,Ad Mixed American
HG01173,Ad Mixed American
HG01174,Ad Mixed American
HG01175,Ad Mixed American
HG01176,Ad Mixed American
HG01177,Ad Mixed American
HG01178,Ad Mixed American
HG01182,Ad Mixed American
HG01183,Ad Mixed American
HG01184,Ad Mixed American
HG01187,Ad Mixed American
HG01188,Ad Mixed American
HG01189,Ad Mixed American
HG01190,Ad Mixed American
HG01191,Ad Mixed American
HG01192,Ad Mixed American
HG01195,Ad Mixed American
HG01197,Ad Mixed American
HG01198,Ad Mixed American
HG01199,Ad Mixed American
HG01200,Ad Mixed American
HG01204,Ad Mixed American
HG01205,Ad Mixed American
HG01206,Ad Mixed American
HG01241,Ad Mixed American
HG01242,Ad Mixed American
HG01243,Ad Mixed American
HG01247,Ad Mixed American
HG01248,Ad Mixed American
HG01249,Ad Mixed American
HG01250,Ad Mixed American
HG01251,Ad Mixed American
HG01252,Ad Mixed American
HG01253,Ad Mixed American
HG01254,Ad Mixed American
HG01255,Ad Mixed American
HG01256,Ad Mixed American
HG01257,Ad Mixed American
HG01258,Ad Mixed American
HG01259,Ad Mixed American
HG01260,Ad Mixed American
HG01261,Ad Mixed American
HG01269,Ad Mixed American
HG01271,Ad Mixed American
HG01272,Ad Mixed American
HG01273,Ad Mixed American
HG01274,Ad Mixed American
HG01275,Ad Mixed American
HG01276,Ad Mixed American
HG01277,Ad Mixed American
HG01278,Ad Mixed American
HG01279,Ad Mixed American
HG01280,Ad Mixed American
HG01281,Ad Mixed American
HG01284,Ad Mixed American
HG01286,Ad Mixed American
HG01301,Ad Mixed American
HG01302,Ad Mixed American
HG01303,Ad Mixed American
HG01305,Ad Mixed American
HG01308,Ad Mixed American
HG01311,Ad Mixed American
HG01312,Ad Mixed American
HG01322,Ad Mixed American
HG01323,Ad Mixed American
HG01324,Ad Mixed American
HG01325,Ad Mixed American
HG01326,Ad Mixed American
HG01327,Ad Mixed American
HG01334,European
HG01341,Ad Mixed American
HG01342,Ad Mixed American
HG01343,Ad Mixed American
HG01344,Ad Mixed American
HG01345,Ad Mixed American
HG01346,Ad Mixed American
HG01347,Ad Mixed American
HG01348,Ad Mixed American
HG01349,Ad Mixed American
HG01350,Ad Mixed American
HG01351,Ad Mixed American
HG01352,Ad Mixed American
HG01353,Ad Mixed American
HG01354,Ad Mixed American
HG01355,Ad Mixed American
HG01356,Ad Mixed American
HG01357,Ad Mixed American
HG01358,Ad Mixed American
HG01359,Ad Mixed American
HG01360,Ad Mixed American
HG01361,Ad Mixed American
HG01362,Ad Mixed American
HG01363,Ad Mixed American
HG01364,Ad Mixed American
HG01365,Ad Mixed American
HG01366,Ad Mixed American
HG01367,Ad Mixed American
HG01369,Ad Mixed American
HG01372,Ad Mixed American
HG01374,Ad Mixed American
HG01375,Ad Mixed American
HG01376,Ad Mixed American
HG01377,Ad Mixed American
HG01378,Ad Mixed American
HG01379,Ad Mixed American
HG01383,Ad Mixed American
HG01384,Ad Mixed American
HG01385,Ad Mixed American
HG01389,Ad Mixed American
HG01390,Ad Mixed American
HG01391,Ad Mixed American
HG01392,Ad Mixed American
HG01393,Ad Mixed American
HG01394,Ad Mixed American
HG01395,Ad Mixed American
HG01396,Ad Mixed American
HG01397,Ad Mixed American
HG01398,Ad Mixed American
HG01402,Ad Mixed American
HG01403,Ad Mixed American
HG01404,Ad Mixed American
HG01405,Ad Mixed American
HG01411,Ad Mixed American
HG01412,Ad Mixed American
HG01413,Ad Mixed American
HG01414,Ad Mixed American
HG01415,Ad Mixed American
HG01431,Ad Mixed American
HG01432,Ad Mixed American
HG01433,Ad Mixed American
HG01435,Ad Mixed American
HG01437,Ad Mixed American
HG01438,Ad Mixed American
HG01439,Ad Mixed American
HG01440,Ad Mixed American
HG01441,Ad Mixed American
HG01442,Ad Mixed American
HG01443,Ad Mixed American
HG01444,Ad Mixed American
HG01445,Ad Mixed American
HG01447,Ad Mixed American
HG01452,Ad Mixed American
HG01453,Ad Mixed American
HG01454,Ad Mixed American
HG01455,Ad Mixed American
HG01456,Ad Mixed American
HG01457,Ad Mixed American
HG01459,Ad Mixed American
HG01461,Ad Mixed American
HG01462,Ad Mixed American
HG01463,Ad Mixed American
HG01464,Ad Mixed American
HG01465,Ad Mixed American
HG01466,Ad Mixed American
HG01468,Ad Mixed American
HG01471,Ad Mixed American
HG01473,Ad Mixed American
HG01474,Ad Mixed American
HG01477,Ad Mixed American
HG01479,Ad Mixed American
HG01480,Ad Mixed American
HG01481,Ad Mixed American
HG01482,Ad Mixed American
HG01483,Ad Mixed American
HG01484,Ad Mixed American
HG01485,Ad Mixed American
HG01486,Ad Mixed American
HG01487,Ad Mixed American
HG01488,Ad Mixed American
HG01489,Ad Mixed American
HG01490,Ad Mixed American
HG01491,Ad Mixed American
HG01492,Ad Mixed American
HG01493,Ad Mixed American
HG01494,Ad Mixed American
HG01495,Ad Mixed American
HG01496,Ad Mixed American
HG01497,Ad Mixed American
HG01498,Ad Mixed American
HG01499,Ad Mixed American
HG01500,European
HG01501,European
HG01502,European
HG01503,European
HG01504,European
HG01505,European
HG01506,European
HG01507,European
HG01508,European
HG01509,European
HG01510,European
HG01511,European
HG01512,European
HG01513,European
HG01514,European
HG01515,European
HG01516,European
HG01517,European
HG01518,European
HG01519,European
HG01520,European
HG01521,European
HG01522,European
HG01523,European
HG01524,European
HG01525,European
HG01526,European
HG01527,European
HG01528,European
HG01529,European
HG01530,European
HG01531,European
HG01532,European
HG01536,European
HG01537,European
HG01538,European
HG01550,Ad Mixed American
HG01551,Ad Mixed American
HG01552,Ad Mixed American
HG01556,Ad Mixed American
HG01565,Ad Mixed American
HG01566,Ad Mixed American
HG01567,Ad Mixed American
HG01571,Ad Mixed American
HG01572,Ad Mixed American
HG01573,Ad Mixed American
HG01577,Ad Mixed American
HG01578,Ad Mixed American
HG01579,Ad Mixed American
HG01583,South Asian
HG01586,South Asian
HG01589,South Asian
HG01590,South Asian
HG01593,South Asian
HG01594,South Asian
HG01595,East Asian
HG01596,East Asian
HG01597,East Asian
HG01598,East Asian
HG01599,East Asian
HG01600,East Asian
HG01601,European
HG01602,European
HG01603,European
HG01604,European
HG01605,European
HG01606,European
HG01607,European
HG01608,European
HG01609,European
HG01610,European
HG01611,European
HG01612,European
HG01613,European
HG01614,European
HG01615,European
HG01616,European
HG01617,European
HG01618,European
HG01619,European
HG01620,European
HG01621,European
HG01622,European
HG01623,European
HG01624,European
HG01625,European
HG01626,European
HG01627,European
HG01628,European
HG01629,European
HG01630,European
HG01631,European
HG01632,European
HG01633,European
HG01667,European
HG01668,European
HG01669,European
HG01670,European
HG01671,European
HG01672,European
HG01673,European
HG01674,European
HG01675,European
HG01676,European
HG01677,European
HG01678,European
HG01679,European
HG01680,European
HG01681,European
HG01682,European
HG01683,European
HG01684,European
HG01685,European
HG01686,European
HG01687,European
HG01694,European
HG01695,European
HG01696,European
HG01697,European
HG01698,European
HG01699,European
HG01700,European
HG01701,European
HG01702,European
HG01703,European
HG01704,European
HG01705,European
HG01706,European
HG01707,European
HG01708,European
HG01709,European
HG01710,European
HG01711,European
HG01746,European
HG01747,European
HG01748,European
HG01755,European
HG01756,European
HG01757,European
HG01761,European
HG01762,European
HG01763,European
HG01764,European
HG01765,European
HG01766,European
HG01767,European
HG01768,European
HG01769,European
HG01770,European
HG01771,European
HG01772,European
HG01773,European
HG01774,European
HG01775,European
HG01776,European
HG01777,European
HG01778,European
HG01779,European
HG01780,European
HG01781,European
HG01782,European
HG01783,European
HG01784,European
HG01785,European
HG01786,European
HG01787,European
HG01789,European
HG01790,European
HG01791,European
HG01794,East Asian
HG01795,East Asian
HG01796,East Asian
HG01797,East Asian
HG01798,East Asian
HG01799,East Asian
HG01800,East Asian
HG01801,East Asian
HG01802,East Asian
HG01804,East Asian
HG01805,East Asian
HG01806,East Asian
HG01807,East Asian
HG01808,East Asian
HG01809,East Asian
HG01810,East Asian
HG01811,East Asian
HG01812,East Asian
HG01813,East Asian
HG01815,East Asian
HG01816,East Asian
HG01817,East Asian
HG01840,East Asian
HG01841,East Asian
HG01842,East Asian
HG01843,East Asian
HG01844,East Asian
HG01845,East Asian
HG01846,East Asian
HG01847,East Asian
HG01848,East Asian
HG01849,East Asian
HG01850,East Asian
HG01851,East Asian
HG01852,East Asian
HG01853,East Asian
HG01855,East Asian
HG01857,East Asian
HG01858,East Asian
HG01859,East Asian
HG01860,East Asian
HG01861,East Asian
HG01862,East Asian
HG01863,East Asian
HG01864,East Asian
HG01865,East Asian
HG01866,East Asian
HG01867,East Asian
HG01868,East Asian
HG01869,East Asian
HG01870,East Asian
HG01871,East Asian
HG01872,East Asian
HG01873,East Asian
HG01874,East Asian
HG01878,East Asian
HG01879,African
HG01880,African
HG01881,African
HG01882,African
HG01883,African
HG01884,African
HG01885,African
HG01886,African
HG01887,African
HG01888,African
HG01889,African
HG01890,African
HG01891,African
HG01892,Ad Mixed American
HG01893,Ad Mixed American
HG01894,African
HG01895,African
HG01896,African
HG01897,African
HG01898,Ad Mixed American
HG01912,African
HG01914,African
HG01915,African
HG01916,African
HG01917,Ad Mixed American
HG01918,Ad Mixed American
HG01919,Ad Mixed American
HG01920,Ad Mixed American
HG01921,Ad Mixed American
HG01922,Ad Mixed American
HG01923,Ad Mixed American
HG01924,Ad Mixed American
HG01925,Ad Mixed American
HG01926,Ad Mixed American
HG01927,Ad Mixed American
HG01928,Ad Mixed American
HG01932,Ad Mixed American
HG01933,Ad Mixed American
HG01934,Ad Mixed American
HG01935,Ad Mixed American
HG01936,Ad Mixed American
HG01937,Ad Mixed American
HG01938,Ad Mixed American
HG01939,Ad Mixed American
HG01940,Ad Mixed American
HG01941,Ad Mixed American
HG01942,Ad Mixed American
HG01943,Ad Mixed American
HG01944,Ad Mixed American
HG01945,Ad Mixed American
HG01946,Ad Mixed American
HG01947,Ad Mixed American
HG01948,Ad Mixed American
HG01949,Ad Mixed American
HG01950,Ad Mixed American
HG01951,Ad Mixed American
HG01952,Ad Mixed American
HG01953,Ad Mixed American
HG01954,Ad Mixed American
HG01955,Ad Mixed American
HG01956,African
HG01958,African
HG01959,African
HG01960,African
HG01961,Ad Mixed American
HG01965,Ad Mixed American
HG01967,Ad Mixed American
HG01968,Ad Mixed American
HG01969,Ad Mixed American
HG01970,Ad Mixed American
HG01971,Ad Mixed American
HG01972,Ad Mixed American
HG01973,Ad Mixed American
HG01974,Ad Mixed American
HG01975,Ad Mixed American
HG01976,Ad Mixed American
HG01977,Ad Mixed American
HG01978,Ad Mixed American
HG01979,Ad Mixed American
HG01980,Ad Mixed American
HG01981,Ad Mixed American
HG01982,Ad Mixed American
HG01983,Ad Mixed American
HG01984,Ad Mixed American
HG01985,African
HG01986,African
HG01987,African
HG01988,African
HG01989,African
HG01990,African
HG01991,Ad Mixed American
HG01992,Ad Mixed American
HG01993,Ad Mixed American
HG01995,Ad Mixed American
HG01997,Ad Mixed American
HG01998,Ad Mixed American
HG02002,Ad Mixed American
HG02003,Ad Mixed American
HG02004,Ad Mixed American
HG02006,Ad Mixed American
HG02008,Ad Mixed American
HG02009,African
HG02010,African
HG02011,African
HG02012,African
HG02013,African
HG02014,African
HG02015,East Asian
HG02016,East Asian
HG02017,East Asian
HG02018,East Asian
HG02019,East Asian
HG02020,East Asian
HG02021,East Asian
HG02023,East Asian
HG02024,East Asian
HG02025,East Asian
HG02026,East Asian
HG02027,East Asian
HG02028,East Asian
HG02029,East Asian
HG02030,East Asian
HG02031,East Asian
HG02032,East Asian
HG02035,East Asian
HG02040,East Asian
HG02046,East Asian
HG02047,East Asian
HG02048,East Asian
HG02049,East Asian
HG02050,East Asian
HG02051,African
HG02052,African
HG02053,African
HG02054,African
HG02055,African
HG02056,East Asian
HG02057,East Asian
HG02058,East Asian
HG02059,East Asian
HG02060,East Asian
HG02061,East Asian
HG02064,East Asian
HG02067,East Asian
HG02068,East Asian
HG02069,East Asian
HG02070,East Asian
HG02071,East Asian
HG02072,East Asian
HG02073,East Asian
HG02074,East Asian
HG02075,East Asian
HG02076,East Asian
HG02077,East Asian
HG02078,East Asian
HG02079,East Asian
HG02080,East Asian
HG02081,East Asian
